Year,China,Germany,Indonesia,Japan,"Korea, Rep.",Malaysia,Singapore,Thailand,United States
1990,1666.92774090575,42287.6527205782,4873.05380133263,35272.4189828727,14377.8839203268,12013.6969483112,45567.7903891463,8701.95436053257,44378.5240275575
1991,1798.27610528653,44125.1442791519,5118.46789591815,36372.0347517186,15784.4668669974,12795.0498964228,47251.6944416002,9294.03106255394,43742.0261213549
1992,2030.38636999332,44672.6920465936,5357.3758979759,36563.6226393696,16613.4907015983,13567.8936121181,48897.810341575,9886.89982869121,44659.1514617994
1993,2286.75974444182,43948.1489792699,5609.15178814269,36277.9231838837,17595.9036148432,14533.790397007,53139.844472382,10538.8163895497,45286.9355090342
1994,2556.64057218097,44933.2942631644,5931.23473426762,36568.7123907341,19052.2990926264,15474.0144648307,57213.0977645801,11215.0366594606,46537.3571477424
1995,2808.03403089611,45475.6859114918,6312.93453561158,37442.8946125519,20697.8969808345,16568.5160590209,59483.6383121123,11953.920382867,47220.9579604358
1996,3055.96977919745,45814.8523072639,6695.40975787395,38528.791438519,22139.7963785414,17771.7118795056,61381.7523709208,12456.3290857417,48435.70010416
1997,3305.79061082131,46596.1810672853,6897.00236563331,38814.2535478124,23311.0420901741,18604.514527465,64291.2024694333,11952.8491238372,49984.2696497419
1998,3533.56587021506,47565.4526830045,5897.68530859207,38217.1955920953,22000.3387603516,16817.1719190401,60782.1972058002,10897.1533831339,51619.8698375216
1999,3774.13766362641,48547.0040773031,5855.65800744994,38020.0940020688,24382.2508517369,17428.6256563043,63746.4792227046,11253.3874955905,53474.045430104
2000,4066.03627019859,49875.8764172059,6056.38197842165,39005.9136305044,26404.1588575745,18532.9096706227,68314.5444027166,11622.5250278537,55038.6224959451
2001,4372.15705579934,50606.7114616457,6190.51954040991,39062.2817355235,27440.6564915847,18186.4411330146,65784.4018813783,11901.3182104659,55017.3049786608
2002,4744.39855079794,50406.3800683443,6381.94955179996,38987.9102707538,29395.2766036796,18708.8694877279,67744.2702679808,12512.1831324963,55436.1169813778
2003,5192.00604608587,50111.5752591319,6599.09193597034,39501.806782419,30142.4605585814,19329.0062757538,71877.5348633552,13287.3048987459,56498.2078314911
2004,5684.16873050981,50704.9219887398,6843.54654972364,40351.776374395,31579.5283048867,20168.5062099425,78039.024710382,13997.0013867292,58131.6336853496
2005,6298.32318474516,51182.9591615718,7140.8545640704,41075.8243580849,32886.0472450743,20767.5857243346,81841.1587801054,14458.2551810694,59604.7536374577
2006,7057.09993331646,53222.0409282226,7434.48785352221,41613.1483821427,34429.6222013137,21444.4857715028,86463.8283836607,15051.0606748719,60676.5655690664
2007,8013.71568302247,54832.9610328446,7802.46406905954,42182.1758636624,36257.3401689702,22305.118263117,90417.8073849967,15742.6552891781,61306.596938633
2008,8743.74491232188,55425.1109251245,8165.06155116624,41645.5722078975,37064.1518484106,22898.0027575442,87329.5937792686,15891.7823409885,60798.4338401606
2009,9518.43214737204,52484.8550055388,8435.4557468629,39279.498871012,37176.1939270969,22106.6417311801,84843.5194001734,15665.9031153449,58714.9736915861
2010,10476.3123630451,54738.7083006711,8848.22473702066,40881.7972423185,39574.0500732947,23307.9698543785,95456.1893079996,16730.3697884488,59789.4129069749
2011,11405.0172845617,57858.4222602355,9274.96955181702,40967.3431400832,40719.2273771671,24115.8181203958,99296.7561111269,16766.3477057883,60245.4843994565
2012,12217.8543175465,58017.5855783147,9708.61182531081,41596.9238038796,41537.6728611117,25006.3587781537,101187.825333454,17869.6376607459,61134.530608776
2013,13080.8288162668,58089.1708538296,10121.8141535043,42492.2439560498,42709.9751857887,25736.3525554142,104359.030680724,18242.4256715363,61958.7234416953
2014,13968.581485524,59108.6977289315,10504.3869411088,42674.6976301321,43806.9250985661,26818.4317281659,107066.858613992,18324.6144674875,63018.8033942192
2015,14856.7807604461,59573.7089539686,10893.6621142169,43386.7100739513,44849.106767089,27699.6278860387,108953.724294287,18811.9975100064,64359.4725899466
2016,15772.7647598696,60407.9713703755,11319.6634287738,43736.1305076612,46088.2430785383,28425.3707609412,111579.742684331,19370.6087810117,65017.654963867
2017,16757.9736318662,61866.4872205276,11772.5743296107,44505.2792603684,47536.7898568851,29551.5457597197,116471.820764776,20094.6778762603,66155.5555676249
2018,17806.7902349725,62381.3478772241,12262.2310300771,44848.4899421798,48834.4471157733,30459.9655338061,119927.769127927,20879.9027821449,67719.7656392064
2019,18820.5131033646,62849.3741865912,12757.7850854842,44730.9102844958,49790.8679884821,31300.5086554849,120114.133894235,21277.8392684764,69112.602688656
2020,19215.1541703465,60203.289760263,12388.5449268131,42992.4796365328,49374.0926148025,29200.452632127,115893.042395938,19957.257140917,67342.0709287722
2021,20843.2978347377,62530.7653199239,12757.0746440204,44355.3487163354,51718.2518656631,29822.8491831618,132617.354020876,20242.7700035656,71307.4017277218
2022,21499.3822834427,63676.087821808,13334.2653947637,44972.3438362201,53228.6035655365,32129.2217820113,133571.962410322,20762.7952598527,72679.2575396348
2023,22687.0758723942,63039.3719696432,13889.9749067297,45858.6595131439,54029.3434990785,32857.6676600774,129555.245509242,21191.4540309274,74158.7164155605
2024,23845.6197217259,62554.5547232436,14470.4372020578,46106.9229230044,55070.9386194121,34116.2317848885,132569.525225795,21740.5403219261,75489.2664334817
