Year,SG_GDP_per_capita_PPP,Partner_Weighted_GDP_per_capita_PPP,SG_Partner_Ratio,REER
1994,57213.0977645801,19187.40918187911,2.9818042249608694,96.33416666666666
1995,59483.6383121123,19878.515135069698,2.9923582273593063,97.79416666666668
1996,61381.7523709208,20632.82798011668,2.974955853364978,100.39333333333333
1997,64291.2024694333,21215.066853422406,3.030450147229297,101.875
1998,60782.1972058002,20927.301278276766,2.9044450785870866,99.5075
1999,63746.4792227046,21611.617815043704,2.9496393915651744,93.19083333333333
2000,68314.5444027166,22486.455863322528,3.038030751397506,93.05083333333333
2001,65784.4018813783,22684.900003846302,2.899920293685418,93.62333333333333
2002,67744.2702679808,23132.753679704503,2.92850004828505,91.07916666666667
2003,71877.5348633552,23670.203036318457,3.036625192993472,87.59583333333335
2004,78039.024710382,24482.457256277008,3.1875486963374042,86.68583333333333
2005,81841.1587801054,25224.72590362062,3.2444815889301046,85.32000000000001
2006,86463.8283836607,26081.543374541896,3.315134658329221,86.62
2007,90417.8073849967,26974.229704468926,3.3520070220954943,87.0575
2008,87329.5937792686,27307.45404142761,3.198013027753615,91.68083333333334
2009,84843.5194001734,26699.303738033566,3.17774276934842,92.0225
2010,95456.1893079996,27929.64498713638,3.417737294976863,95.13583333333332
2011,99296.7561111269,28744.594241353276,3.4544497402671315,100.24749999999999
2012,101187.825333454,29497.098799563715,3.4304331426299677,105.03583333333331
2013,104359.030680724,30224.35748040006,3.4528122144002205,107.06249999999999
2014,107066.858613992,31015.71143704041,3.4520200779959462,106.93833333333333
2015,108953.724294287,31849.387891707618,3.4209048118835104,104.86583333333333
2016,111579.742684331,32587.2448517718,3.424031187413019,104.33166666666666
2017,116471.820764776,33590.105363218136,3.4674443412825693,103.07166666666667
2018,119927.769127927,34523.332346911615,3.473817878379156,102.40583333333332
2019,120114.133894235,35310.99069453762,3.401607588223682,102.63749999999999
2020,115893.042395938,34318.24974445377,3.377009120771599,100.0
2021,132617.354020876,35952.53959106645,3.688678338979675,99.9325
2022,133571.962410322,37059.96505839057,3.60421177407669,105.49083333333333
2023,129555.245509242,37905.22329270667,3.4178731650993774,112.545
2024,132569.525225795,38789.21787955906,3.417690081749645,115.43750000000001
