Year,SG_GDPpc,US_GDPpc,JP_GDPpc,DE_GDPpc,KR_GDPpc,SG_Cum_Growth,Dev_Avg_Cum_Growth,Growth_Differential,REER
1994,57213.0977645801,46537.3571477424,36568.7123907341,44933.2942631644,19052.2990926264,-16.25,-15.14,-1.11,96.33
1995,59483.6383121123,47220.9579604358,37442.8946125519,45475.6859114918,20697.8969808345,-12.93,-12.43,-0.5,97.79
1996,61381.7523709208,48435.70010416,38528.791438519,45814.8523072639,22139.7963785414,-10.15,-9.57,-0.58,100.39
1997,64291.2024694333,49984.2696497419,38814.2535478124,46596.1810672853,23311.0420901741,-5.89,-7.12,1.23,101.88
1998,60782.1972058002,51619.8698375216,38217.1955920953,47565.4526830045,22000.3387603516,-11.03,-7.47,-3.56,99.51
1999,63746.4792227046,53474.045430104,38020.0940020688,48547.0040773031,24382.2508517369,-6.69,-3.93,-2.75,93.19
2000,68314.5444027166,55038.6224959451,39005.9136305044,49875.8764172059,26404.1588575745,0.0,0.0,0.0,93.05
2001,65784.4018813783,55017.3049786608,39062.2817355235,50606.7114616457,27440.6564915847,-3.7,1.3,-5.0,93.62
2002,67744.2702679808,55436.1169813778,38987.9102707538,50406.3800683443,29395.2766036796,-0.83,3.25,-4.08,91.08
2003,71877.5348633552,56498.2078314911,39501.806782419,50111.5752591319,30142.4605585814,5.22,4.75,0.47,87.6
2004,78039.024710382,58131.6336853496,40351.776374395,50704.9219887398,31579.5283048867,14.23,7.78,6.45,86.69
2005,81841.1587801054,59604.7536374577,41075.8243580849,51182.9591615718,32886.0472450743,19.8,10.48,9.32,85.32
2006,86463.8283836607,60676.5655690664,41613.1483821427,53222.0409282226,34429.6222013137,26.57,13.68,12.88,86.62
2007,90417.8073849967,61306.596938633,42182.1758636624,54832.9610328446,36257.3401689702,32.36,16.77,15.59,87.06
2008,87329.5937792686,60798.4338401606,41645.5722078975,55425.1109251245,37064.1518484106,27.83,17.15,10.68,91.68
2009,84843.5194001734,58714.9736915861,39279.498871012,52484.8550055388,37176.1939270969,24.2,13.42,10.77,92.02
2010,95456.1893079996,59789.4129069749,40881.7972423185,54738.7083006711,39574.0500732947,39.73,18.21,21.52,95.14
2011,99296.7561111269,60245.4843994565,40967.3431400832,57858.4222602355,40719.2273771671,45.35,20.85,24.5,100.25
2012,101187.825333454,61134.530608776,41596.9238038796,58017.5855783147,41537.6728611117,48.12,22.58,25.54,105.04
2013,104359.030680724,61958.7234416953,42492.2439560498,58089.1708538296,42709.9751857887,52.76,24.74,28.02,107.06
2014,107066.858613992,63018.8033942192,42674.6976301321,59108.6977289315,43806.9250985661,56.73,26.88,29.85,106.94
2015,108953.724294287,64359.4725899466,43386.7100739513,59573.7089539686,44849.106767089,59.49,29.24,30.25,104.87
2016,111579.742684331,65017.654963867,43736.1305076612,60407.9713703755,46088.2430785383,63.33,31.33,32.0,104.33
2017,116471.820764776,66155.5555676249,44505.2792603684,61866.4872205276,47536.7898568851,70.49,34.4,36.09,103.07
2018,119927.769127927,67719.7656392064,44848.4899421798,62381.3478772241,48834.4471157733,75.55,36.91,38.64,102.41
2019,120114.133894235,69112.602688656,44730.9102844958,62849.3741865912,49790.8679884821,75.83,38.69,37.14,102.64
2020,115893.042395938,67342.0709287722,42992.4796365328,60203.289760263,49374.0926148025,69.65,35.15,34.5,100.0
2021,132617.354020876,71307.4017277218,44355.3487163354,62530.7653199239,51718.2518656631,94.13,41.34,52.79,99.93
2022,133571.962410322,72679.2575396348,44972.3438362201,63676.087821808,53228.6035655365,95.52,44.37,51.15,105.49
2023,129555.245509242,74158.7164155605,45858.6595131439,63039.3719696432,54029.3434990785,89.65,46.25,43.4,112.55
2024,132569.525225795,75489.2664334817,46106.9229230044,62554.5547232436,55070.9386194121,94.06,47.92,46.13,115.44
