date,neer_index
1994-01-31,71.66
1994-02-28,71.97
1994-03-31,71.86
1994-04-30,72.67
1994-05-31,73.12
1994-06-30,73.56
1994-07-31,73.34
1994-08-31,73.82
1994-09-30,74.22
1994-10-31,74.54
1994-11-30,75.03
1994-12-31,75.91
1995-01-31,76.41
1995-02-28,76.02
1995-03-31,75.89
1995-04-30,75.28
1995-05-31,75.82
1995-06-30,75.55
1995-07-31,75.82
1995-08-31,77.11
1995-09-30,77.28
1995-10-31,77.54
1995-11-30,78.48
1995-12-31,78.65
1996-01-31,79.13
1996-02-29,79.7
1996-03-31,79.88
1996-04-30,80.18
1996-05-31,80.31
1996-06-30,80.6
1996-07-31,80.11
1996-08-31,80.04
1996-09-30,80.7
1996-10-31,80.95
1996-11-30,81.31
1996-12-31,82.09
1997-01-31,82.61
1997-02-28,83.23
1997-03-31,82.41
1997-04-30,82.76
1997-05-31,82.17
1997-06-30,82.26
1997-07-31,82.43
1997-08-31,81.98
1997-09-30,82.53
1997-10-31,81.61
1997-11-30,81.59
1997-12-31,82.65
1998-01-31,82.61
1998-02-28,84.66
1998-03-31,85.94
1998-04-30,86.48
1998-05-31,85.48
1998-06-30,85.0
1998-07-31,84.6
1998-08-31,82.77
1998-09-30,81.85
1998-10-31,82.89
1998-11-30,82.54
1998-12-31,81.2
1999-01-31,79.71
1999-02-28,79.86
1999-03-31,79.54
1999-04-30,80.23
1999-05-31,80.24
1999-06-30,80.21
1999-07-31,80.7
1999-08-31,80.92
1999-09-30,79.83
1999-10-31,80.18
1999-11-30,80.41
1999-12-31,80.07
2000-01-31,80.18
2000-02-29,80.0
2000-03-31,79.29
2000-04-30,79.74
2000-05-31,80.35
2000-06-30,79.65
2000-07-31,79.74
2000-08-31,81.09
2000-09-30,80.89
2000-10-31,81.28
2000-11-30,81.96
2000-12-31,82.44
2001-01-31,82.53
2001-02-28,82.35
2001-03-31,82.34
2001-04-30,81.62
2001-05-31,81.53
2001-06-30,81.97
2001-07-31,81.9
2001-08-31,83.1
2001-09-30,83.39
2001-10-31,81.22
2001-11-30,80.71
2001-12-31,80.8
2002-01-31,81.48
2002-02-28,82.11
2002-03-31,81.73
2002-04-30,81.31
2002-05-31,81.2
2002-06-30,80.78
2002-07-31,80.94
2002-08-31,81.42
2002-09-30,81.22
2002-10-31,80.97
2002-11-30,81.16
2002-12-31,81.37
2003-01-31,81.11
2003-02-28,80.61
2003-03-31,80.27
2003-04-30,79.12
2003-05-31,79.41
